year_month,Cst_Cnt,Btl_Cnt,T_degC,Salnty,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,T_prec,PO4uM,R_TEMP,R_POTEMP,R_SALINITY,R_SIGMA,R_SVA,R_O2,R_O2Sat,R_PO4,CPI,PPI
1949/03,35.5,1058.8428571428572,13.853571428571428,33.39528571428571,,24.96121428571428,,,1.3285714285714283,,13.853571428571428,13.877536231884056,33.39528571428571,24.954782608695652,298.6594202898551,,,,20.5,
1949/04,118.5,3598.1041666666665,13.344895833333332,33.35681318681319,5.748958333333334,25.02112087912089,96.5758241758242,250.34850989011,1.65625,0.4641176470588234,13.344895833333332,13.295930232558137,33.35681318681319,24.99872093023256,294.48372093023266,5.748958333333334,96.47674418604652,0.4641176470588234,20.2,
1949/05,221.5,6682.745454545455,14.035909090909088,33.24863636363636,5.618181818181816,24.796981818181813,95.59727272727272,244.83519818181816,1.8909090909090909,0.5440789473684212,14.035909090909088,14.025045871559628,33.24863636363636,24.793211009174307,314.0137614678898,5.618181818181816,96.32056074766356,0.5440789473684212,19.8,
1949/06,316.5,9535.9875,16.313875000000003,33.44746835443037,5.052948717948716,24.454734177215197,90.48846153846156,220.2777038461538,1.8375,,16.313875000000003,16.47106666666667,33.44746835443037,24.43746666666667,347.9199999999999,5.052948717948716,91.46571428571433,,19.6,
1949/07,409.0,12328.009523809524,16.632307692307684,33.20174757281552,5.377032967032969,24.20797058823529,96.83033707865168,234.28464606741585,1.5480769230769231,0.5680555555555556,16.632307692307684,16.64439999999999,33.20174757281552,24.201699999999995,370.3969999999999,5.377032967032969,97.7129411764706,0.5680555555555556,19.3,
1949/08,520.0,15749.017094017094,18.04350427350428,33.216551724137936,5.51905982905983,23.86344827586205,101.66465517241376,240.4045301724139,1.4102564102564104,0.5745299145299144,18.04350427350428,18.08612068965517,33.216551724137936,23.85870689655172,403.0827586206897,5.51905982905983,101.9469565217391,0.5745299145299144,19.4,
1949/09,635.0,19338.62831858407,19.16159292035399,33.23654867256638,5.382666666666665,23.614752212389373,101.21619047619048,234.84314380952384,1.2300884955752212,0.4919,19.16159292035399,19.15946428571429,33.23654867256638,23.60758928571429,427.0401785714287,5.382666666666665,101.43689320388351,0.4919,19.6,
1949/10,745.5,22896.962962962964,17.43824074074073,33.30807692307692,5.401759259259258,24.08138461538461,98.3375,235.49394038461543,1.0277777777777777,0.5306557377049183,17.43824074074073,17.44442307692307,33.30807692307692,24.076923076923077,382.3067307692309,5.401759259259258,98.52038834951456,0.5306557377049183,19.3,
1949/11,855.5,26346.410714285717,16.625267857142855,33.24870000000001,5.482844036697249,24.20895000000001,98.36288659793811,238.5499020618556,1.7767857142857142,0.4851428571428572,16.625267857142855,16.695959595959593,33.24870000000001,24.205353535353524,370.0575757575758,5.482844036697249,98.34166666666664,0.4851428571428572,18.9,
1950/01,928.0,28613.12121212121,12.945757575757575,33.244242424242415,5.478125,25.035606060606064,91.35625,238.67880625000004,2.0,0.6110000000000002,12.945757575757575,12.945757575757575,33.244242424242415,25.03060606060605,291.40000000000003,5.478125,91.8516129032258,0.6110000000000002,18.9,
